"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW_Reset1";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"Reset_Btn";;;
2;"SW1";"Switch_Tactile_SMD_B3U-1000P-BPVersion";1;"SW_SPST";;;
3;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Female";;;
4;"D7";"LED_COM-11821";1;"COM-11821";;;
5;"G***";"pecord_10x10_BSLK";1;"pecord";;;
6;"G***";"Jiggle_10x15_BSILK";1;"JiggleBilly";;;
7;"G***";"NG_BSilk";1;"NG_BSilk";;;
8;"REF**,REF**";"Slot_12x5mm";2;"12x5 SLOT";;;
9;"TP5";"TouchPad_10x10mm";1;"CT_Right";;;
10;"TP4";"TouchPad_10x10mm";1;"CT_Left";;;
11;"TP3";"TouchPad_10x10mm";1;"CT_Down";;;
12;"TP2";"TouchPad_10x10mm";1;"CT_Up";;;
13;"TP1";"TouchPad_10x10mm";1;"CT_Center";;;
14;"U3";"SOIC-8-1EP_W3.9mm";1;"CH330N";;;
15;"G***";"shi%%y";1;"LOGO";;;
16;"J5,J4";"PinHeader_1x02_P2.54mm_Vertical";2;"Conn_01x02_Female";;;
17;"G***";"BadgePiratesURL_BSLK";1;"LOGO";;;
18;"G***";"FG_10x10_BSILK";1;"fg";;;
19;"G***";"BPSkull_Distressed_10x10_BSILK";1;"BP Logo";;;
20;"J3";"USB_Micro-B_Wuerth_629105150521";1;"USB_B_Mini";;;
21;"C4,C5";"C_0805_2012Metric";2;".1uF";;;
22;"X1";"Badgelife-SAOv169-BADGE-2x3_Back";1;"Badgelife_sao_connector_v169bis";;;
23;"BT1";"Keystone-1042-0";1;"Li-Ion";;;
24;"U4";"SOT-223";1;"TLV1117-33";;;
25;"D4,D6,D5,D3";"LED_Osram_Lx_P47F_D2mm_ReverseMount_MaskNoHole";4;"LED";;;
26;"U2";"ESP32-S2-WROVER";1;"ESP32-S2-WROVER";;;
27;"U1";"LTC4054";1;"LTC4054";;;
28;"SW6";"SW_SPDT_PCM12";1;"SW_SPDT";;;
29;"R5";"R_1206_3216Metric";1;"10k";;;
30;"R4";"R_1206_3216Metric";1;"1k";;;
31;"R3";"R_1206_3216Metric";1;"330";;;
32;"R2";"R_1206_3216Metric";1;"2k";;;
33;"R1";"R_1206_3216Metric";1;"R";;;
34;"J2";"PinHeader_1x4_P2.54mm_Drill1.02mm";1;"JTAG";;;
35;"D2";"R_1206_3216Metric";1;"Charging LED";;;
36;"D1";"R_1206_3216Metric";1;"Pwr";;;
37;"C3";"C_0805_2012Metric";1;"1uF";;;
38;"C2";"C_0805_2012Metric";1;"22uF";;;
39;"C1";"C_0805_2012Metric";1;"0.1uF";;;
